LTspice 24.1.8 for Windows
Circuit: C:\Users\sweeks\Downloads\nerf_crossbar_latency_256x256_ADCcap.net
Start Time: Mon May 26 14:08:32 2025
solver = Normal
Maximum thread count: 8
tnom = 27
temp = 27
method = trap
.OP point found by inspection.
Total elapsed time: 0.741 seconds.

Files loaded:
C:\Users\sweeks\Downloads\nerf_crossbar_latency_256x256_ADCcap.net

latency_y0=3.02877767206e-10 FROM 1.0499999984e-08 TO 1.08028777512e-08
latency_y1=3.02877767206e-10 FROM 1.0499999984e-08 TO 1.08028777512e-08
latency_y2=3.02877767206e-10 FROM 1.0499999984e-08 TO 1.08028777512e-08
latency_y3=3.02877767206e-10 FROM 1.0499999984e-08 TO 1.08028777512e-08
latency_y4=3.02877767206e-10 FROM 1.0499999984e-08 TO 1.08028777512e-08
latency_y5=3.02877767206e-10 FROM 1.0499999984e-08 TO 1.08028777512e-08
latency_y6=3.02877767206e-10 FROM 1.0499999984e-08 TO 1.08028777512e-08
latency_y7=3.02877767206e-10 FROM 1.0499999984e-08 TO 1.08028777512e-08
latency_y8=3.02877767206e-10 FROM 1.0499999984e-08 TO 1.08028777512e-08
latency_y9=3.02877767206e-10 FROM 1.0499999984e-08 TO 1.08028777512e-08
latency_y10=3.02877767206e-10 FROM 1.0499999984e-08 TO 1.08028777512e-08
latency_y11=3.02877767206e-10 FROM 1.0499999984e-08 TO 1.08028777512e-08
latency_y12=3.02877767206e-10 FROM 1.0499999984e-08 TO 1.08028777512e-08
latency_y13=3.02877767206e-10 FROM 1.0499999984e-08 TO 1.08028777512e-08
latency_y14=3.02877767206e-10 FROM 1.0499999984e-08 TO 1.08028777512e-08
latency_y15=3.02877767206e-10 FROM 1.0499999984e-08 TO 1.08028777512e-08
latency_y16=3.02877767206e-10 FROM 1.0499999984e-08 TO 1.08028777512e-08
latency_y17=3.02877767206e-10 FROM 1.0499999984e-08 TO 1.08028777512e-08
latency_y18=3.02877767206e-10 FROM 1.0499999984e-08 TO 1.08028777512e-08
latency_y19=3.02877767206e-10 FROM 1.0499999984e-08 TO 1.08028777512e-08
