LTspice 24.1.8 for Windows
Circuit: C:\Users\sweeks\Downloads\nerf_crossbar_latency_256x256_FIXED_SUBCKT.net
Start Time: Mon May 26 14:08:08 2025
solver = Normal
Maximum thread count: 8
tnom = 27
temp = 27
method = trap
.OP point found by inspection.
Total elapsed time: 0.578 seconds.

Files loaded:
C:\Users\sweeks\Downloads\nerf_crossbar_latency_256x256_FIXED_SUBCKT.net

latency_y0=-2.41999999039e-10 FROM 1.05e-08 TO 1.0258000001e-08
latency_y1=-2.41999999039e-10 FROM 1.05e-08 TO 1.0258000001e-08
latency_y2=-2.41999999039e-10 FROM 1.05e-08 TO 1.0258000001e-08
latency_y3=-2.41999999039e-10 FROM 1.05e-08 TO 1.0258000001e-08
latency_y4=-2.41999999039e-10 FROM 1.05e-08 TO 1.0258000001e-08
latency_y5=-2.41999999039e-10 FROM 1.05e-08 TO 1.0258000001e-08
latency_y6=-2.41999999039e-10 FROM 1.05e-08 TO 1.0258000001e-08
latency_y7=-2.41999999039e-10 FROM 1.05e-08 TO 1.0258000001e-08
latency_y8=-2.41999999039e-10 FROM 1.05e-08 TO 1.0258000001e-08
latency_y9=-2.41999999039e-10 FROM 1.05e-08 TO 1.0258000001e-08
latency_y10=-2.41999999039e-10 FROM 1.05e-08 TO 1.0258000001e-08
latency_y11=-2.41999999039e-10 FROM 1.05e-08 TO 1.0258000001e-08
latency_y12=-2.41999999039e-10 FROM 1.05e-08 TO 1.0258000001e-08
latency_y13=-2.41999999039e-10 FROM 1.05e-08 TO 1.0258000001e-08
latency_y14=-2.41999999039e-10 FROM 1.05e-08 TO 1.0258000001e-08
latency_y15=-2.41999999039e-10 FROM 1.05e-08 TO 1.0258000001e-08
latency_y16=-2.41999999039e-10 FROM 1.05e-08 TO 1.0258000001e-08
latency_y17=-2.41999999039e-10 FROM 1.05e-08 TO 1.0258000001e-08
latency_y18=-2.41999999039e-10 FROM 1.05e-08 TO 1.0258000001e-08
latency_y19=-2.41999999039e-10 FROM 1.05e-08 TO 1.0258000001e-08
